version 22:	 56	128	4.795	61.432	6956.066	0.312	2.073	2.271	343.889	7366.048	0.025	0.006	7366.079
version 22:	 56	128	4.854	60.990	722.839	0.248	2.011	2.279	338.539	1126.913	0.024	0.007	1126.944
version 22:	 56	128	4.747	58.198	731.006	0.258	1.977	2.293	341.080	1134.817	0.027	0.007	1134.851
version 22:	 56	128	4.628	58.421	727.264	0.252	1.926	2.275	340.283	1130.408	0.044	0.007	1130.459
version 22:	 56	128	4.555	60.913	722.223	0.163	1.841	2.217	335.473	1122.838	0.024	0.007	1122.869
version 22:	 56	128	4.801	61.035	712.204	0.260	1.945	2.150	339.815	1117.412	0.032	0.007	1117.451
version 22:	 56	128	4.967	61.385	711.621	0.258	2.196	2.170	339.118	1116.735	0.051	0.007	1116.793
version 22:	 56	128	4.682	60.923	714.317	0.258	1.947	2.303	340.556	1120.311	0.032	0.007	1120.350
version 22:	 56	128	4.818	61.081	715.477	0.251	2.159	2.156	338.203	1119.334	0.032	0.007	1119.373
version 22:	 56	128	4.879	58.186	708.132	0.273	2.180	2.168	337.072	1108.016	0.030	0.009	1108.055
version 22:	 56	128	4.922	61.319	706.592	0.251	2.348	2.155	336.872	1109.523	0.049	0.008	1109.580
version 22:	 56	128	4.664	62.258	707.107	0.258	1.934	2.158	336.646	1110.350	0.046	0.008	1110.404
version 22:	 56	128	4.892	62.061	710.078	0.256	2.133	2.233	339.080	1115.848	0.028	0.009	1115.885
