verOpencl4:	 496.327	8.364	156.961	51.443	0.136	0.093	216.997
verOpencl4:	 477.519	0.058	6.633	23.623	5.338	1.145	36.797
verOpencl4:	 471.269	0.063	164.293	53.454	0.128	0.093	218.031
verOpencl4:	 469.118	0.057	6.440	23.678	5.197	1.014	36.386
verOpencl4:	 467.061	0.073	164.795	50.755	0.126	0.092	215.841
verOpencl4:	 167.614	0.061	4.971	10.365	3.047	0.990	19.434
verOpencl4:	 170.652	0.092	5.053	10.355	3.107	1.065	19.672
verOpencl4:	 174.747	0.059	168.487	48.245	0.162	0.077	217.030
verOpencl4:	 179.743	0.165	1469.592	243.061	0.382	0.127	1713.327
verOpencl4:	 170.041	0.163	14.886	58.546	6.543	1.118	81.256
verOpencl4:	 169.036	0.161	14.932	54.133	6.620	1.036	76.882
verOpencl4:	 168.110	0.160	15.017	55.331	6.439	1.008	77.955
verOpencl4:	 170.751	0.161	14.946	59.423	6.577	1.021	82.128
